City Name,Country,Latitude,Longitude,Humidity (%),Temperature (F),Max Temp (F),Cloudiness (%),Wind Speed (mph),Date
Mahebourg,MU,-20.4081,57.7,81,22.92,22.92,60,3.72,1970-01-01 00:00:01.634771662
Altay,CN,47.8667,88.1167,39,4.63,4.63,0,4.4,1970-01-01 00:00:01.634771662
Kuah,MY,6.3265,99.8432,81,26.73,26.73,92,6.85,1970-01-01 00:00:01.634771662
Abha,SA,18.2164,42.5053,23,14.14,14.14,0,0,1970-01-01 00:00:01.634771663
Saint-philippe,RE,-21.3585,55.7679,79,21.06,21.77,41,4.63,1970-01-01 00:00:01.634771663
Vardo,NO,70.3705,31.1107,72,1.43,1.43,100,11.71,1970-01-01 00:00:01.634771663
Eirunepe,BR,-6.6603,-69.8736,96,23.59,23.59,88,1.25,1970-01-01 00:00:01.634771664
Tezu,IN,27.9167,96.1667,99,22.32,22.32,100,0.61,1970-01-01 00:00:01.634771664
Solwezi,ZM,-12.1688,26.3894,48,21.32,21.32,97,3.7,1970-01-01 00:00:01.634771664
El faiyum,,,,,,,,,
Barkot,IN,30.8167,78.2,74,15.02,15.02,0,1.95,1970-01-01 00:00:01.634771665
La orilla,MX,17.9833,-102.2333,77,28.45,28.45,99,2.11,1970-01-01 00:00:01.634771665
Anakapalle,IN,17.6833,83.0167,90,26.97,26.97,58,0.93,1970-01-01 00:00:01.634771666
Boddam,GB,57.4667,-1.7833,70,3.54,4.51,87,12.85,1970-01-01 00:00:01.634771666
Seymchan,RU,62.8833,152.4333,63,-18.06,-18.06,9,1.17,1970-01-01 00:00:01.634771667
Zhangye,CN,38.9342,100.4517,42,4.53,4.53,1,1.57,1970-01-01 00:00:01.634771667
Galiwinku,,,,,,,,,
Ganzhou,CN,28.8184,115.4327,92,11.23,11.23,100,1.89,1970-01-01 00:00:01.634771667
Oktyabrsk,KZ,49.4744,57.4233,69,1.1,1.1,79,7.65,1970-01-01 00:00:01.634771668
Ambilobe,MG,-13.2,49.05,84,20.8,20.8,62,1.44,1970-01-01 00:00:01.634771668
Itarema,BR,-2.9248,-39.9167,79,26.73,26.73,100,4.95,1970-01-01 00:00:01.634771669
Qianan,CN,44.9932,124.0581,56,1.99,1.99,8,1.16,1970-01-01 00:00:01.634771669
Manicore,BR,-5.8092,-61.3003,71,27.5,27.5,75,0.88,1970-01-01 00:00:01.634771670
Beyneu,KZ,45.3167,55.2,60,5.25,5.25,50,5.63,1970-01-01 00:00:01.634771670
Guerrero negro,MX,27.9769,-114.0611,62,21.06,21.06,61,5.74,1970-01-01 00:00:01.634771670
Lata,PT,40.1629,-8.3327,98,15.46,16.56,21,0.56,1970-01-01 00:00:01.634771464
Tonantins,BR,-2.8731,-67.8022,95,24.06,24.06,97,1.03,1970-01-01 00:00:01.634771671
Olga,RU,43.7444,135.2892,55,0.98,0.98,9,2.88,1970-01-01 00:00:01.634771671
Shimoda,JP,34.6667,138.95,62,15.06,15.06,99,5.55,1970-01-01 00:00:01.634771398
Upernavik,GL,72.7868,-56.1549,99,0.37,0.37,100,4.24,1970-01-01 00:00:01.634771672
Gornoye loo,RU,43.7129,39.6049,68,6.88,6.88,2,2.48,1970-01-01 00:00:01.634771672
Umm lajj,SA,25.0213,37.2685,67,25.78,25.78,0,5.91,1970-01-01 00:00:01.634771673
Point pleasant,US,40.0832,-74.0682,60,19.41,22.99,1,0.89,1970-01-01 00:00:01.634771673
Calderitas,MX,18.55,-88.25,100,24.06,24.06,90,0,1970-01-01 00:00:01.634771674
Sentyabrskiy,,,,,,,,,
Xuzhou,CN,34.1805,117.1571,80,11.03,11.03,100,1.59,1970-01-01 00:00:01.634771674
Ahipara,NZ,-35.1667,173.1667,91,16.38,16.38,100,4.86,1970-01-01 00:00:01.634771485
Bethel,US,41.3712,-73.414,73,17.18,20.17,1,2.57,1970-01-01 00:00:01.634771675
Half moon bay,US,37.4636,-122.4286,79,17.62,20.95,90,0.89,1970-01-01 00:00:01.634771675
Eydhafushi,MV,5.1033,73.0708,71,27.45,27.45,70,5.39,1970-01-01 00:00:01.634771676
Oranjemund,NA,-28.55,16.4333,79,14.99,14.99,56,2.42,1970-01-01 00:00:01.634771676
San ramon,US,37.7799,-121.978,71,17.46,19.82,90,0.89,1970-01-01 00:00:01.634771677
Rey bouba,CM,8.6724,14.1786,95,23,23,100,2.12,1970-01-01 00:00:01.634771677
Hofn,IS,64.2539,-15.2082,53,1.86,1.86,8,3.08,1970-01-01 00:00:01.634771678
Ramasukha,,,,,,,,,
Haines junction,CA,60.7522,-137.5108,66,2.72,2.72,43,0.23,1970-01-01 00:00:01.634771427
Honningsvag,NO,70.9821,25.9704,61,2.15,2.15,100,13.29,1970-01-01 00:00:01.634771679
Mentok,,,,,,,,,
Thabazimbi,ZA,-24.5917,27.4116,59,16.26,16.26,67,2.11,1970-01-01 00:00:01.634771679
Kem,RU,64.9555,34.5793,96,-0.18,-0.18,100,8.7,1970-01-01 00:00:01.634771680
Huazolotitlan,,,,,,,,,
Arraial do cabo,BR,-22.9661,-42.0278,82,18.19,18.19,100,4.79,1970-01-01 00:00:01.634771680
Kavaratti,IN,10.5669,72.642,74,27.65,27.65,98,5.09,1970-01-01 00:00:01.634771681
Luwuk,ID,-0.9516,122.7875,69,27.65,27.65,82,0.74,1970-01-01 00:00:01.634771681
Kralendijk,BQ,12.15,-68.2667,76,28.78,28.78,23,8.52,1970-01-01 00:00:01.634771681
Bac lieu,VN,9.285,105.7244,95,23.81,23.81,100,2.8,1970-01-01 00:00:01.634771682
Monte alegre,BR,-2.0078,-54.0692,66,27.66,27.66,53,1.07,1970-01-01 00:00:01.634771682
Mitu,CO,1.1983,-70.1733,97,22.95,22.95,100,0.95,1970-01-01 00:00:01.634771682
Cururupu,BR,-1.8283,-44.8683,85,24.75,24.75,20,1.49,1970-01-01 00:00:01.634771683
Borujan,,,,,,,,,
Lazaro cardenas,MX,17.9583,-102.2,77,28.6,28.6,96,2.15,1970-01-01 00:00:01.634771684
Kudahuvadhoo,MV,2.6708,72.8944,68,28.06,28.06,58,5.24,1970-01-01 00:00:01.634771437
Taoudenni,ML,22.6783,-3.9836,23,24.35,24.35,0,5.44,1970-01-01 00:00:01.634771684
Rochegda,RU,62.8,43.25,79,-0.5,-0.5,100,6.08,1970-01-01 00:00:01.634771685
Aflu,,,,,,,,,
Butembo,CD,0.15,29.2833,98,14.96,14.96,100,1.02,1970-01-01 00:00:01.634771685
Dicabisagan,PH,17.0818,122.4157,82,26.21,26.21,61,0.94,1970-01-01 00:00:01.634771432
Nazas,MX,25.2333,-104.1333,30,29.17,29.17,1,3.29,1970-01-01 00:00:01.634771686
Labuhan,ID,-6.8844,112.2051,81,26.34,26.34,63,3.02,1970-01-01 00:00:01.634771686
Chapais,CA,49.7834,-74.8492,96,3.88,3.88,100,3.67,1970-01-01 00:00:01.634771687
Padang,ID,-0.9492,100.3543,90,24.2,24.2,100,1.43,1970-01-01 00:00:01.634771687
Nampula,MZ,-15.1165,39.2666,86,19.05,19.05,45,2.79,1970-01-01 00:00:01.634771687
Rapu-rapu,PH,13.1866,124.1256,79,27.92,27.92,83,2.91,1970-01-01 00:00:01.634771688
Port lincoln,AU,-34.7333,135.8667,75,17.34,17.34,68,5.31,1970-01-01 00:00:01.634771688
Yunjinghong,,,,,,,,,
Batagay,RU,67.6333,134.6333,97,-13.5,-13.5,99,1.24,1970-01-01 00:00:01.634771689
Shaunavon,CA,49.6501,-108.4181,37,7.41,7.41,14,7.75,1970-01-01 00:00:01.634771689
Mackay,AU,-21.15,149.2,72,26.49,26.49,57,5.53,1970-01-01 00:00:01.634771690
Konce,MK,41.4958,22.385,93,7.05,7.05,0,2.1,1970-01-01 00:00:01.634771690
Jieshi,CN,22.8134,115.8257,86,25.53,25.53,96,3,1970-01-01 00:00:01.634771691
Cabedelo,BR,-6.9811,-34.8339,79,27.37,27.37,11,5.26,1970-01-01 00:00:01.634771691
Clyde river,CA,70.4692,-68.5914,92,-3.56,-3.56,100,3.78,1970-01-01 00:00:01.634771692
Antofagasta,CL,-23.65,-70.4,76,14.6,14.6,16,3.32,1970-01-01 00:00:01.634771548
La plata,AR,-34.9215,-57.9545,80,18.06,20.55,0,5.14,1970-01-01 00:00:01.634771692
San luis,AR,-33.295,-66.3356,26,22.4,22.4,4,4.05,1970-01-01 00:00:01.634771692
San patricio,US,28.017,-97.5169,58,27.73,30.05,24,4.47,1970-01-01 00:00:01.634771693
Yandyki,RU,45.7691,47.1258,57,4.86,4.86,5,2.98,1970-01-01 00:00:01.634771693
San cristobal,VE,7.7669,-72.225,86,22.1,22.1,14,0.84,1970-01-01 00:00:01.634771502
Muswellbrook,AU,-32.2667,150.9,67,18.21,18.21,63,4.43,1970-01-01 00:00:01.634771694
Hay river,CA,60.8156,-115.7999,62,6.43,6.43,15,4.36,1970-01-01 00:00:01.634771694
Celestun,MX,20.8667,-90.4,81,27.15,27.15,78,4.99,1970-01-01 00:00:01.634771695
Grand centre,,,,,,,,,
Nishihara,JP,26.1842,127.7558,74,24.28,24.6,90,1.54,1970-01-01 00:00:01.634771695
Bonfim,BR,3.0833,-59.95,62,29.07,29.07,84,2,1970-01-01 00:00:01.634771696
Harper,LR,4.375,-7.7169,86,25.55,25.55,60,3.89,1970-01-01 00:00:01.634771524
Kysyl-syr,RU,63.8986,122.7617,98,-5.52,-5.52,89,2.02,1970-01-01 00:00:01.634771696
Noumea,NC,-22.2763,166.4572,96,21.99,21.99,100,2.11,1970-01-01 00:00:01.634771403
Thinadhoo,MV,0.5333,72.9333,76,27.41,27.41,72,4.6,1970-01-01 00:00:01.634771697
Portland,US,45.5234,-122.6762,68,16.02,17.99,75,0.45,1970-01-01 00:00:01.634771675
Buala,SB,-8.145,159.5921,68,29.5,29.5,58,2.68,1970-01-01 00:00:01.634771697
Ramanagaram,IN,12.7167,77.3,93,21.28,21.28,98,1.72,1970-01-01 00:00:01.634771697
Mananjary,MG,-21.2167,48.3333,87,21.57,21.57,50,3.69,1970-01-01 00:00:01.634771698
Komsomolskiy,UZ,40.4272,71.7189,44,13.4,13.4,97,4.12,1970-01-01 00:00:01.634771698
Sandpoint,US,48.2766,-116.5533,88,10.46,13.64,100,0,1970-01-01 00:00:01.634771668
Sao jose da coroa grande,BR,-8.8978,-35.1478,85,25.33,25.33,9,4.01,1970-01-01 00:00:01.634771460
Karamea,,,,,,,,,
Soyo,AO,-6.1349,12.3689,83,24.14,24.14,50,2.71,1970-01-01 00:00:01.634771699
Lavrentiya,RU,65.5833,-171,98,-0.21,-0.21,99,3.07,1970-01-01 00:00:01.634771699
Canutama,BR,-6.5339,-64.3831,70,27.58,27.58,93,0.76,1970-01-01 00:00:01.634771700
Belgrade,RS,44.804,20.4651,64,12.72,13.81,0,0.45,1970-01-01 00:00:01.634771666
Tefe,BR,-3.3542,-64.7114,100,25.06,25.06,40,2.06,1970-01-01 00:00:01.634771700
Sinjah,,,,,,,,,
Vaitupu,,,,,,,,,
Ilek,RU,51.5271,53.3831,82,0.09,0.09,12,4.04,1970-01-01 00:00:01.634771701
Kendari,ID,-3.945,122.4989,86,25.98,25.98,71,0.96,1970-01-01 00:00:01.634771702
Ewa beach,US,21.3156,-158.0072,42,28.92,28.97,1,5.36,1970-01-01 00:00:01.634771703
Toliary,,,,,,,,,
Kuala lipis,MY,4.1842,102.0468,99,22.4,22.4,99,0.09,1970-01-01 00:00:01.634771704
Omboue,GA,-1.5746,9.2618,87,24.42,24.42,98,2.39,1970-01-01 00:00:01.634771705
San matias,BO,-16.3667,-58.4,37,30.08,30.08,62,1.5,1970-01-01 00:00:01.634771706
Zaruma,EC,-3.6833,-79.6167,97,19.08,19.08,87,1.37,1970-01-01 00:00:01.634771706
Surt,LY,31.2089,16.5887,72,21.85,21.85,50,4.36,1970-01-01 00:00:01.634771707
Barentu,ER,15.1139,37.5928,46,24.09,24.09,21,2.44,1970-01-01 00:00:01.634771707
Afmadu,,,,,,,,,
Coihaique,CL,-45.5752,-72.0662,57,9.97,9.97,40,1.54,1970-01-01 00:00:01.634771642
Coquimbo,CL,-29.9533,-71.3436,82,13.85,13.85,20,4.63,1970-01-01 00:00:01.634771645
Bukachacha,RU,52.9833,116.9167,94,-5.45,-5.45,18,1.3,1970-01-01 00:00:01.634771708
Luderitz,NA,-26.6481,15.1594,87,12.99,12.99,44,4.96,1970-01-01 00:00:01.634771709
Taltal,CL,-25.4,-70.4833,75,15.61,15.61,22,2.31,1970-01-01 00:00:01.634771709
Saint-augustin,CA,51.226,-58.6502,84,7.49,7.49,100,5.8,1970-01-01 00:00:01.634771710
Husavik,IS,66.0449,-17.3389,73,-4.05,-4.05,66,6.18,1970-01-01 00:00:01.634771710
Valparaiso,CL,-33.0393,-71.6273,72,14.75,14.8,75,3.09,1970-01-01 00:00:01.634771711
Chabahar,IR,25.2919,60.643,78,25.67,25.67,10,2.4,1970-01-01 00:00:01.634771711
Ixtapa,MX,20.7,-105.2,66,30.57,30.57,75,3.6,1970-01-01 00:00:01.634771711
Jumla,NP,29.2747,82.1838,88,10.56,10.56,38,1.22,1970-01-01 00:00:01.634771712
Zyryanovsk,KZ,49.7386,84.2719,47,3.67,3.67,28,0.94,1970-01-01 00:00:01.634771712
West wendover,US,40.7391,-114.0733,54,11.56,11.56,1,1.54,1970-01-01 00:00:01.634771713
Mkushi,ZM,-13.6202,29.3939,78,17.1,17.1,100,4.02,1970-01-01 00:00:01.634771713
Timra,SE,62.487,17.3257,100,2.63,3.84,90,2.06,1970-01-01 00:00:01.634771714
Sept-iles,CA,50.2001,-66.3821,88,10.01,10.03,75,1.79,1970-01-01 00:00:01.634771714
Pevek,RU,69.7008,170.3133,92,-7.46,-7.46,100,6.06,1970-01-01 00:00:01.634771715
Juneau,US,58.3019,-134.4197,87,8.24,10,90,7.2,1970-01-01 00:00:01.634771473
Ust-bolsheretsk,,,,,,,,,
Rapid valley,US,44.0625,-103.1463,81,4.55,7.81,20,0.89,1970-01-01 00:00:01.634771716
Wangaratta,AU,-36.3667,146.3333,68,15.69,16.25,99,1.33,1970-01-01 00:00:01.634771716
Leningradskiy,RU,69.3833,178.4167,96,-3.51,-3.51,100,7.06,1970-01-01 00:00:01.634771717
High prairie,CA,55.4334,-116.4858,39,11.61,11.61,3,4.58,1970-01-01 00:00:01.634771717
Apastovo,RU,55.2029,48.5109,80,2.17,2.17,51,2.68,1970-01-01 00:00:01.634771717
Ornskoldsvik,SE,63.2909,18.7153,100,3.53,3.9,90,1.03,1970-01-01 00:00:01.634771718
Barrancabermeja,CO,7.0653,-73.8547,83,26.31,26.31,37,0.62,1970-01-01 00:00:01.634771718
Kuytun,RU,54.3419,101.5036,83,-0.74,-0.74,2,3.16,1970-01-01 00:00:01.634771719
Sayla,IN,22.55,71.4667,71,24.19,24.19,13,4.38,1970-01-01 00:00:01.634771719
North bend,US,43.4065,-124.2243,85,16.21,16.95,75,4.63,1970-01-01 00:00:01.634771471
Huaicheng,CN,23.9051,112.1931,92,16.18,16.18,100,1.78,1970-01-01 00:00:01.634771720
Tynda,RU,55.1667,124.7167,80,-3.89,-3.89,49,1.92,1970-01-01 00:00:01.634771720
Tautira,PF,-17.7333,-149.15,78,27.01,27.01,80,5.47,1970-01-01 00:00:01.634771720
Pavilosta,LV,56.8879,21.1859,89,13.95,13.95,100,12.43,1970-01-01 00:00:01.634771721
Healdsburg,US,38.6105,-122.8692,83,14.87,16.51,90,0.89,1970-01-01 00:00:01.634771721
Neuquen,AR,-38.9516,-68.0591,27,25.94,25.94,20,6.17,1970-01-01 00:00:01.634771722
Tabou,CI,4.423,-7.3528,88,25.13,25.13,42,3.37,1970-01-01 00:00:01.634771722
La ronge,CA,55.1001,-105.2842,47,5.34,5.34,56,3.99,1970-01-01 00:00:01.634771455
Rabo de peixe,PT,37.8,-25.5833,77,16.73,16.73,20,2.06,1970-01-01 00:00:01.634771722
Bara,NG,10.3744,10.7288,79,23.61,23.61,69,4.67,1970-01-01 00:00:01.634771723
Banda aceh,ID,5.5577,95.3222,78,25.84,25.84,99,0.86,1970-01-01 00:00:01.634771723
Atambua,ID,-9.1061,124.8925,69,26.76,26.76,93,0.29,1970-01-01 00:00:01.634771724
Nioro,GM,13.35,-15.75,82,24.83,24.83,25,2.88,1970-01-01 00:00:01.634771724
Pervomayskiy,RU,53.2485,40.2871,81,1.74,1.74,99,9.02,1970-01-01 00:00:01.634771724
Bonthe,SL,7.5264,-12.505,87,25.52,25.52,100,2.85,1970-01-01 00:00:01.634771725
Dzilam gonzalez,MX,21.2833,-88.9333,92,25.24,25.24,76,3.01,1970-01-01 00:00:01.634771725
Shahrud,IR,36.4182,54.9763,70,10.27,10.27,71,5.6,1970-01-01 00:00:01.634771726
Hosangadi,IN,13.7,74.95,94,23.36,23.36,92,1.12,1970-01-01 00:00:01.634771726
Kabare,CD,-2.4683,28.8242,93,16.66,16.66,100,0.32,1970-01-01 00:00:01.634771727
Kachiry,KZ,53.0675,76.1036,49,8.31,8.31,100,3.98,1970-01-01 00:00:01.634771727
Kovernino,RU,57.1253,43.8142,92,-0.27,-0.27,100,6.46,1970-01-01 00:00:01.634771727
Trairi,BR,-3.2778,-39.2689,79,26.67,26.67,96,3.66,1970-01-01 00:00:01.634771575
San pedro,PH,14.35,121.0167,84,26.85,27.28,75,1.54,1970-01-01 00:00:01.634771728
Zykovo,RU,55.9519,93.1461,74,-4.59,-4.59,86,2.06,1970-01-01 00:00:01.634771728
Beringovskiy,RU,63.05,179.3167,74,-7.76,-7.76,42,2.07,1970-01-01 00:00:01.634771729
Siderno,IT,38.2779,16.302,70,16.74,18.8,0,2.95,1970-01-01 00:00:01.634771729
Kuala terengganu,MY,5.3302,103.1408,94,25.97,25.97,40,0,1970-01-01 00:00:01.634771730
Maniwaki,CA,46.3834,-75.966,82,11.96,11.96,100,2.9,1970-01-01 00:00:01.634771691
Klaksvik,FO,62.2266,-6.589,65,5.51,5.51,82,15.66,1970-01-01 00:00:01.634771730
Belmonte,BR,-15.8631,-38.8828,89,26.28,26.28,70,2.19,1970-01-01 00:00:01.634771731
Araguari,BR,-18.6472,-48.1872,65,21.86,21.86,93,2.06,1970-01-01 00:00:01.634771731
Cabatuan,PH,10.8794,122.486,91,25.61,25.61,61,2.73,1970-01-01 00:00:01.634771732
Suntar,RU,62.1444,117.6319,98,1.39,1.39,100,3.67,1970-01-01 00:00:01.634771733
Nantucket,US,41.2835,-70.0995,83,15.33,17.27,1,1.54,1970-01-01 00:00:01.634771733
Novovarshavka,RU,54.1721,74.6946,56,7.17,7.17,89,3.75,1970-01-01 00:00:01.634771734
Abu dhabi,AE,24.4667,54.3667,83,28.01,29.06,6,1.03,1970-01-01 00:00:01.634771466
Boa vista,BR,2.8197,-60.6733,62,29.99,29.99,75,1.54,1970-01-01 00:00:01.634771661
Nieuw amsterdam,SR,5.8833,-55.0833,79,28.7,29.01,20,3.09,1970-01-01 00:00:01.634771735
Sackville,CA,45.9188,-64.3846,85,9.03,10.82,72,1.23,1970-01-01 00:00:01.634771735
Provideniya,RU,64.3833,-173.3,69,-0.94,-0.94,0,0,1970-01-01 00:00:01.634771735
Utica,US,43.1009,-75.2327,68,16.77,18,54,0.45,1970-01-01 00:00:01.634771452
Asau,RO,46.4333,26.4,72,6.51,6.51,12,3.33,1970-01-01 00:00:01.634771736
Popondetta,PG,-8.7537,148.2534,60,30.13,30.13,68,1.16,1970-01-01 00:00:01.634771736
Raudeberg,NO,61.9875,5.1352,96,4.91,5.66,83,1.34,1970-01-01 00:00:01.634771737
Panaba,MX,21.2833,-88.2667,88,25.26,25.26,86,4.75,1970-01-01 00:00:01.634771737
Plered,,,,,,,,,
Tabatinga,BR,-4.2525,-69.9381,88,24,24.05,0,2.06,1970-01-01 00:00:01.634771738
Bairiki,KI,1.3292,172.9752,62,31,31,20,6.17,1970-01-01 00:00:01.634771738
Vitimskiy,,,,,,,,,
Marawi,PH,7.9986,124.2928,90,21.87,21.87,100,0.61,1970-01-01 00:00:01.634771739
Ushtobe,KZ,45.2514,77.9838,28,13.34,13.34,100,1.39,1970-01-01 00:00:01.634771739
Wahran,,,,,,,,,
San jose,US,37.3394,-121.895,71,17.8,20.92,90,0.45,1970-01-01 00:00:01.634771450
Tunggol,PH,5.8446,121.1544,79,27.62,27.62,82,2,1970-01-01 00:00:01.634771740
Marsh harbour,BS,26.5412,-77.0636,61,26.2,26.2,88,7.04,1970-01-01 00:00:01.634771530
Tenabo,MX,20.05,-90.2333,95,25,25,97,2.12,1970-01-01 00:00:01.634771740
Mayo,US,38.8876,-76.5119,70,18.05,21.08,1,0.45,1970-01-01 00:00:01.634771741
Awbari,LY,26.5921,12.7805,40,22.38,22.38,100,3.66,1970-01-01 00:00:01.634771741
Englewood,US,39.6478,-104.9878,29,15.39,18.46,20,1.34,1970-01-01 00:00:01.634771699
Outjo,NA,-20.1167,16.15,41,18.83,18.83,49,1.79,1970-01-01 00:00:01.634771742
Nagornskiy,RU,58.7731,57.5451,95,-3.3,-3.3,10,1.3,1970-01-01 00:00:01.634771742
Puerto leguizamo,CO,-0.1934,-74.7819,99,22.47,22.47,100,1.24,1970-01-01 00:00:01.634771561
Thunder bay,CA,48.4001,-89.3168,66,5.73,6.1,100,3.01,1970-01-01 00:00:01.634771652
Republic,US,37.12,-93.4802,95,18.35,20.62,90,0.45,1970-01-01 00:00:01.634771743
Geraldton,AU,-28.7667,114.6,77,18.23,18.4,75,4.63,1970-01-01 00:00:01.634771743
Vilhena,BR,-12.7406,-60.1458,83,25.12,25.12,0,1.03,1970-01-01 00:00:01.634771743
Golden,US,39.7555,-105.2211,31,14.71,18.02,20,2.24,1970-01-01 00:00:01.634771448
Vuktyl,RU,63.8567,57.3094,89,-1.09,-1.09,96,2.53,1970-01-01 00:00:01.634771744
Agva,,,,,,,,,
Zarakes,,,,,,,,,
Inhambane,MZ,-23.865,35.3833,75,18.81,18.81,0,2.58,1970-01-01 00:00:01.634771745
Hella,NO,67.2,14.4333,92,0.96,1.53,75,13.89,1970-01-01 00:00:01.634771745
Hervey bay,AU,-25.2986,152.8535,69,26.13,26.13,16,4.37,1970-01-01 00:00:01.634771745
Bacuit,,,,,,,,,
Georgiyevka,KZ,43.0369,74.7114,71,10.02,10.02,40,3,1970-01-01 00:00:01.634771746
Dali,CN,25.7,100.1833,94,16.07,16.07,100,1.54,1970-01-01 00:00:01.634771746
Macapa,BR,0.0389,-51.0664,70,30.99,30.99,20,4.63,1970-01-01 00:00:01.634771465
Bambous virieux,MU,-20.3428,57.7575,83,22.14,22.9,40,2.57,1970-01-01 00:00:01.634771747
Prado,BR,-17.3411,-39.2208,91,21.64,21.64,100,6.39,1970-01-01 00:00:01.634771747
Niamey,NE,13.5137,2.1098,45,32.16,32.16,63,2.57,1970-01-01 00:00:01.634771748
Carutapera,BR,-1.195,-46.02,78,26.31,26.31,13,3.19,1970-01-01 00:00:01.634771748
Samarai,PG,-10.6167,150.6667,75,28.19,28.19,79,3.53,1970-01-01 00:00:01.634771749
Zherdevka,RU,51.8486,41.4606,57,3.71,3.71,97,6.55,1970-01-01 00:00:01.634771749
Kloulklubed,PW,7.0419,134.2556,75,27.28,27.28,100,2.36,1970-01-01 00:00:01.634771749
Batagay-alyta,RU,67.8006,130.4114,89,-13.25,-13.25,100,1.87,1970-01-01 00:00:01.634771750
Port augusta,AU,-32.5,137.7667,44,22.06,22.06,22,3.59,1970-01-01 00:00:01.634771750
Qaqortoq,GL,60.7167,-46.0333,38,-1.72,-1.72,0,1.55,1970-01-01 00:00:01.634771751
Olhao,PT,37.0286,-7.8411,78,21.94,21.94,0,3.09,1970-01-01 00:00:01.634771751
Wanning,CN,18.8003,110.3967,91,25.12,25.12,79,0.35,1970-01-01 00:00:01.634771752
Aviles,ES,43.5547,-5.9248,76,16.93,18.18,75,4.02,1970-01-01 00:00:01.634771752
Codrington,AU,-38.2667,141.9667,61,19.1,19.1,51,6.73,1970-01-01 00:00:01.634771752
Turtkul,,,,,,,,,
Kahna nau,PK,31.3692,74.3653,68,23.02,23.02,0,2.57,1970-01-01 00:00:01.634771753
Farah,AF,32.5,62.5,14,18.93,18.93,2,0.51,1970-01-01 00:00:01.634771753
Waverley,ZA,-25.7023,28.2591,45,16.4,16.41,54,1.96,1970-01-01 00:00:01.634771754
Dno,RU,57.8277,29.9637,80,13.61,13.61,100,8.85,1970-01-01 00:00:01.634771754
Burnie,AU,-41.0667,145.9167,82,13.86,13.86,90,5.25,1970-01-01 00:00:01.634771755
Port moresby,PG,-9.4431,147.1797,72,28.36,28.36,95,0.68,1970-01-01 00:00:01.634771755
Srednekolymsk,RU,67.45,153.6833,94,-20.72,-20.72,82,0.9,1970-01-01 00:00:01.634771470
Bilibino,RU,68.0546,166.4372,95,-16.49,-16.49,100,1.16,1970-01-01 00:00:01.634771756
Storsteinnes,NO,69.2408,19.2344,86,-1.61,-1,100,3.66,1970-01-01 00:00:01.634771756
Chernoyerkovskaya,RU,45.4331,37.7686,63,4.28,4.28,27,2.99,1970-01-01 00:00:01.634771756
Eyl,SO,7.9803,49.8164,82,25.47,25.47,67,2.79,1970-01-01 00:00:01.634771757
Port blair,IN,11.6667,92.75,83,26.82,26.82,100,1.89,1970-01-01 00:00:01.634771757
Voh,NC,-20.9667,164.7,92,20.35,20.35,100,1.26,1970-01-01 00:00:01.634771757
Northam,GB,51.0333,-4.2167,76,10.64,12.03,100,11.54,1970-01-01 00:00:01.634771758
Riberalta,BO,-10.9833,-66.1,70,30.11,30.11,40,0,1970-01-01 00:00:01.634771758
Aklavik,CA,68.2191,-135.0107,79,-2.54,-2.54,100,3.74,1970-01-01 00:00:01.634771758
Ponta delgada,PT,37.7333,-25.6667,77,17.4,17.4,20,2.06,1970-01-01 00:00:01.634771759
Agadir,MA,30.4202,-9.5982,39,21.25,21.25,74,0.34,1970-01-01 00:00:01.634771759
Andover,GB,51.2083,-1.4825,90,9.84,11.31,75,9.39,1970-01-01 00:00:01.634771760
Coahuayana,MX,18.7333,-103.6833,77,30.71,30.71,39,2.04,1970-01-01 00:00:01.634771760
Lewiston,US,44.1003,-70.2148,79,10.75,13.19,1,2.57,1970-01-01 00:00:01.634771761
Saleaula,,,,,,,,,
Kungurtug,RU,50.5994,97.5228,73,-5.19,-5.19,51,1.38,1970-01-01 00:00:01.634771761
Moose factory,CA,51.2585,-80.6094,65,2.99,3,90,2.06,1970-01-01 00:00:01.634771762
Hualmay,PE,-11.0964,-77.6139,82,18.55,18.55,68,5.6,1970-01-01 00:00:01.634771763
Matara,LK,5.9485,80.5353,88,24.91,24.91,94,2.32,1970-01-01 00:00:01.634771763
Sijunjung,ID,-0.6876,100.9537,99,21.43,21.43,99,0.43,1970-01-01 00:00:01.634771764
Barbar,,,,,,,,,
Polson,US,47.6936,-114.1632,64,12.11,13.08,80,5.81,1970-01-01 00:00:01.634771764
Omsukchan,RU,62.5333,155.8,92,-19.81,-19.81,35,1.72,1970-01-01 00:00:01.634771765
Kamenka,RU,51.3223,42.7678,65,1.77,1.77,93,5.52,1970-01-01 00:00:01.634771765
Svetlogorsk,BY,52.6333,29.7333,65,11.4,11.4,100,6.78,1970-01-01 00:00:01.634771765
Kaeo,NZ,-35.1,173.7833,97,15.74,15.74,100,3.3,1970-01-01 00:00:01.634771766
San vicente,AR,-26.6167,-54.1333,72,16.26,16.26,60,1.37,1970-01-01 00:00:01.634771767
Drobak,NO,59.6633,10.6298,1,9.1,10.2,85,5.79,1970-01-01 00:00:01.634771767
Khonuu,,,,,,,,,
Mikonos,,,,,,,,,
Solnechnyy,RU,50.7214,136.6319,71,-3.22,-3.22,20,1.61,1970-01-01 00:00:01.634771768
Bhinmal,IN,25,72.25,52,23.56,23.56,0,2.96,1970-01-01 00:00:01.634771768
